Word,Rank,Frequency
late,775,754
tongue,776,753
stones,777,750
north,778,748
grey,779,744
story,780,744
paul,781,742
speaking,782,741
smote,783,741
smile,784,741
sitting,785,741
everything,786,741
disciples,787,741
prophets,788,741
believed,789,738
sacrifice,790,738
horses,791,738
entered,792,738
arms,793,736
departed,794,735
wrath,795,735
talking,796,735
sperm,797,735
met,798,733
lifted,799,732
caught,800,732
bright,801,732
trust,802,732
sky,803,732
understanding,804,730
perfectly,805,729
human,806,729
plain,807,729
churchill,808,726
stranger,809,726
dwelt,810,726
inheritance,811,726
turning,812,723
fairfax,813,723
minutes,814,723
rich,815,720
hat,816,720
thence,817,717
built,818,714
trouble,819,714
across,820,712
lo,821,711
ma,822,711
desire,823,708
fifty,824,708
greater,825,706
loved,826,705
forty,827,705
cloud,828,705
afterwards,829,705
spread,830,702
happiness,831,702
thinking,832,702
show,833,701
lips,834,699
caesar,835,699
ear,836,693
buster,837,690
jennings,838,690
lucy,839,690
drew,840,688
court,841,688
begat,842,687
struck,843,687
yourselves,844,687
fact,845,685
walking,846,684
shut,847,682
whatever,848,681
big,849,681
age,850,678
frank,851,678
mad,852,675
service,853,675
around,854,675
stars,855,675
seat,856,675
form,857,674
natural,858,673
led,859,672
talked,860,669
mountain,861,669
nobody,862,669
worse,863,669
particular,864,669
exactly,865,669
clear,866,667
obliged,867,666
inhabitants,868,666
grass,869,666
offered,870,666
deck,871,663
heavy,872,661
appear,873,660
different,874,660
rejoice,875,660
hours,876,660
moreover,877,657
noise,878,657
opinion,879,657
sheep,880,654
tried,881,654
joshua,882,654
gather,883,654
faces,884,654
presence,885,654
wentworth,886,654
horse,887,654
giving,888,654
equal,889,652
beside,890,651
vs,891,651
acquaintance,892,651
willoughby,893,651
says,894,649
touch,895,648
forget,896,648
try,897,648
taste,898,648
pay,899,645
fancy,900,645
character,901,645
bound,902,642
sorry,903,642
farmer,904,642
purpose,905,639
charge,906,639
church,907,639
fat,908,639
cubits,909,639
figure,910,636
fled,911,636
arose,912,636
families,913,630
ashamed,914,630
hearts,915,628
shame,916,627
reign,917,627
fallen,918,627
enemy,919,624
youth,920,624
dr,921,624
broad,922,622
delight,923,621
sudden,924,621
interest,925,621
destroyed,926,621
streets,927,621
road,928,621
clothes,929,621
cross,930,621
feeling,931,621
sought,932,620
slew,933,618
happened,934,618
wherein,935,618
carry,936,616
gates,937,615
moon,938,615
queen,939,615
beasts,940,612
clean,941,612
meant,942,612
dream,943,612
dare,944,612
slain,945,612
dinner,946,609
countenance,947,609
promise,948,609
aside,949,606
beauty,950,606
woe,951,606
consider,952,604
repeated,953,603
write,954,603
re,955,603
attention,956,601
prince,957,600
aye,958,600
jordan,959,600
ships,960,600
rain,961,597
ah,962,597
pain,963,597
th,964,597
unclean,965,597
tis,966,594
starbuck,967,594
instead,968,594
satisfied,969,594
pleasant,970,594
object,971,594
thank,972,591
favour,973,591
peter,974,591
stop,975,591
looks,976,591
ladies,977,591
besides,978,591
build,979,588
gentlemen,980,588
lion,981,585
bless,982,585
heavens,983,585
prepared,984,583
carriage,985,582
mere,986,582
loud,987,582
months,988,581
valley,989,581
chance,990,580
nay,991,579
witness,992,579
throughout,993,579
ago,994,578
moved,995,576
running,996,574
arise,997,573
vessels,998,573
lamb,999,573
golden,1000,573
sins,1001,573
nigh,1002,570
ere,1003,570
speech,1004,569
entirely,1005,567
reigned,1006,567
worship,1007,567
remain,1008,565
rising,1009,565
goes,1010,564
neck,1011,564
conversation,1012,564
grave,1013,564
whosoever,1014,564
creature,1015,564
hid,1016,564
devil,1017,561
alive,1018,561
breath,1019,561
usual,1020,558
tears,1021,558
fixed,1022,558
raised,1023,556
fields,1024,555
several,1025,555
wide,1026,553
remained,1027,552
archer,1028,552
